vin,stock_number,year,make,model,trim,title,price,mileage,features,comments,detail_url,photos,post
5N1BT3BA4PC829911,P11564,2023,Nissan,Rogue,SV,2023 Nissan Rogue SV,"$19,321OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","52,829 mi","Exterior: Super Black, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Rogue-SV-5N1BT3BA4PC829911,https://www.premiernissanoffremont.com/inventoryphotos/16243/5n1bt3ba4pc829911/ip/1.jpg?timestamp=2025-12-18T12:59:21Z&bg-color=FFFFFF&width=600,
4S3GTAD60P3702323,S8326762A,2023,Subaru,Impreza,Premium,2023 Subaru Impreza Premium,"$19,491OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","51,241 mi","Exterior: Crystal White Pearl, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-Subaru-Impreza-Premium-4S3GTAD60P3702323,https://www.premiernissanoffremont.com/inventoryphotos/16243/4s3gtad60p3702323/ip/1.jpg?timestamp=2026-01-30T13:03:14Z&bg-color=FFFFFF&width=600,
5N1BT3BA3PC833027,P11514,2023,Nissan,Rogue,SV,2023 Nissan Rogue SV,"$19,521OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","50,136 mi","Exterior: Super Black, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Rogue-SV-5N1BT3BA3PC833027,https://www.premiernissanoffremont.com/inventoryphotos/16243/5n1bt3ba3pc833027/ip/1.jpg?timestamp=2025-12-06T13:03:37Z&bg-color=FFFFFF&width=600,
5N1BT3BAXPC792864,P11515,2023,Nissan,Rogue,SV,2023 Nissan Rogue SV,"$19,541OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","49,186 mi","Exterior: Brilliant Silver Metallic, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Rogue-SV-5N1BT3BAXPC792864,https://www.premiernissanoffremont.com/inventoryphotos/16243/5n1bt3baxpc792864/ip/1.jpg?timestamp=2025-12-06T13:03:37Z&bg-color=FFFFFF&width=600,
5NMJB3DE8RH398920,P11798,2024,Hyundai,Tucson,SEL,2024 Hyundai Tucson SEL,"$19,821OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","49,904 mi","Exterior: Titan Gray, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2024-Hyundai-Tucson-SEL-5NMJB3DE8RH398920,https://www.premiernissanoffremont.com/inventoryphotos/16243/5nmjb3de8rh398920/ip/1.jpg?timestamp=2026-02-07T05:04:32Z&bg-color=FFFFFF&width=600,
3VWEM7BU3RM049428,P11645,2024,Volkswagen,Jetta,1.5T SE,2024 Volkswagen Jetta 1.5T SE,"$19,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","23,135 mi","Exterior: Rising Blue Metallic, Interior: Titan Black",,https://www.premiernissanoffremont.com/used-+-2024-Volkswagen-Jetta-15T+SE-3VWEM7BU3RM049428,https://www.premiernissanoffremont.com/inventoryphotos/16243/3vwem7bu3rm049428/ip/1.jpg?timestamp=2025-12-03T08:00:25Z&bg-color=FFFFFF&width=600,
3N1CP5DV6RL574603,TC755010A,2024,Nissan,Kicks,SR,2024 Nissan Kicks SR,"$20,213OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","11,372 mi","Exterior: Gray/Super Black, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Kicks-SR-3N1CP5DV6RL574603,https://www.premiernissanoffremont.com/inventoryphotos/16243/3n1cp5dv6rl574603/ip/1.jpg?timestamp=2026-02-06T04:58:06Z&bg-color=FFFFFF&width=600,
2FMPK4J92PBA58449,P11641,2023,Ford,Edge,SEL,2023 Ford Edge SEL,"$20,481OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","46,498 mi","Exterior: Iconic Silver Metallic, Interior: Ebony",,https://www.premiernissanoffremont.com/used-+-2023-Ford-Edge-SEL-2FMPK4J92PBA58449,https://www.premiernissanoffremont.com/inventoryphotos/16243/2fmpk4j92pba58449/ip/1.jpg?timestamp=2025-12-03T08:00:25Z&bg-color=FFFFFF&width=600,
KMHLM4DG8RU805441,P11739,2024,Hyundai,Elantra,SEL,2024 Hyundai Elantra SEL,"$20,502OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","3,861 mi","Exterior: Abyss Black, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2024-Hyundai-Elantra-SEL-KMHLM4DG8RU805441,https://www.premiernissanoffremont.com/inventoryphotos/16243/kmhlm4dg8ru805441/ip/1.jpg?timestamp=2025-12-16T13:22:03Z&bg-color=FFFFFF&width=600,
3N1CN8FV2SL873628,SL873628R,2025,Nissan,Versa,1.6 SR,2025 Nissan Versa 1.6 SR,"$20,521OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process",160 mi,Exterior: Scarlet Ember Tintcoat,,https://www.premiernissanoffremont.com/used-+-2025-Nissan-Versa-16+SR-3N1CN8FV2SL873628,https://www.premiernissanoffremont.com/inventoryphotos/16243/3n1cn8fv2sl873628/ip/1.jpg?timestamp=2026-01-25T03:06:32Z&bg-color=FFFFFF&width=600,
1FATP8UH1P5104989,P11690,2023,Ford,Mustang,EcoBoost Premium,2023 Ford Mustang EcoBoost Premium,"$20,594OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","66,693 mi","Exterior: Oxford White, Interior: Ebony",,https://www.premiernissanoffremont.com/used-+-2023-Ford-Mustang-EcoBoost+Premium-1FATP8UH1P5104989,https://www.premiernissanoffremont.com/inventoryphotos/16243/1fatp8uh1p5104989/ip/1.jpg?timestamp=2026-01-20T05:40:04Z&bg-color=FFFFFF&width=600,
3N1AB8DV5RY330385,TN616752A,2024,Nissan,Sentra,SR,2024 Nissan Sentra SR,"$20,621OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","14,998 mi",Exterior: Gun Metallic,,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Sentra-SR-3N1AB8DV5RY330385,https://www.premiernissanoffremont.com/inventoryphotos/16243/3n1ab8dv5ry330385/ip/1.jpg?timestamp=2026-01-16T05:01:55Z&bg-color=FFFFFF&width=600,
3C4NJDDN1RT145029,P11692,2024,Jeep,Compass,Trailhawk,2024 Jeep Compass Trailhawk,"$20,641OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","51,343 mi",Exterior: Silver Zynith Metallic Clearcoat,,https://www.premiernissanoffremont.com/used-+-2024-Jeep-Compass-Trailhawk-3C4NJDDN1RT145029,https://www.premiernissanoffremont.com/inventoryphotos/16243/3c4njddn1rt145029/ip/1.jpg?timestamp=2025-12-03T08:00:25Z&bg-color=FFFFFF&width=600,
JN1AF0BA7PM404881,P11654,2023,Nissan,Ariya,ENGAGE,2023 Nissan Ariya ENGAGE,"$20,781OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","8,890 mi","Exterior: Gun Metallic, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Ariya-ENGAGE-JN1AF0BA7PM404881,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1af0ba7pm404881/ip/1.jpg?timestamp=2025-12-03T08:00:25Z&bg-color=FFFFFF&width=600,
3VVRB7AXXRM207223,P11792,2024,Volkswagen,Tiguan,2.0T S,2024 Volkswagen Tiguan 2.0T S,"$20,820OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","31,743 mi","Exterior: Deep Black Pearl, Interior: Storm Gray",,https://www.premiernissanoffremont.com/used-+-2024-Volkswagen-Tiguan-20T+S-3VVRB7AXXRM207223,https://www.premiernissanoffremont.com/inventoryphotos/16243/3vvrb7axxrm207223/ip/1.jpg?timestamp=2026-01-31T05:11:11Z&bg-color=FFFFFF&width=600,
1GYFZCR45PF198406,P11716,2023,Cadillac,XT4,Premium Luxury,2023 Cadillac XT4 Premium Luxury,"$20,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","61,077 mi","Exterior: Argent Silver Metallic, Interior: Jet Black",,https://www.premiernissanoffremont.com/used-+-2023-Cadillac-XT4-Premium+Luxury-1GYFZCR45PF198406,https://www.premiernissanoffremont.com/inventoryphotos/16243/1gyfzcr45pf198406/ip/1.jpg?timestamp=2025-12-04T13:18:54Z&bg-color=FFFFFF&width=600,
JN1CF0BBXRM731845,P11767,2024,Nissan,Ariya,ENGAGE e-4ORCE,2024 Nissan Ariya ENGAGE e-4ORCE,"$20,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","15,373 mi","Exterior: Everest White Pearl Tricoat, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Ariya-ENGAGE+e+4ORCE-JN1CF0BBXRM731845,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1cf0bbxrm731845/ip/1.jpg?timestamp=2026-01-03T04:53:49Z&bg-color=FFFFFF&width=600,
2FMPK4J99RBA80970,P11628,2024,Ford,Edge,SEL,2024 Ford Edge SEL,"$21,260OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","37,448 mi","Exterior: Iconic Silver Metallic, Interior: Ebony",,https://www.premiernissanoffremont.com/used-+-2024-Ford-Edge-SEL-2FMPK4J99RBA80970,https://www.premiernissanoffremont.com/inventoryphotos/16243/2fmpk4j99rba80970/ip/1.jpg?timestamp=2025-12-03T08:00:25Z&bg-color=FFFFFF&width=600,
3FMCR9B61RRE88117,P11732,2024,Ford,Bronco Sport,Big Bend,2024 Ford Bronco Sport Big Bend,"$21,481OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","56,222 mi","Exterior: Cactus Gray, Interior: Ebony",,https://www.premiernissanoffremont.com/used-+-2024-Ford-Bronco+Sport-Big+Bend-3FMCR9B61RRE88117,https://www.premiernissanoffremont.com/inventoryphotos/16243/3fmcr9b61rre88117/ip/1.jpg?timestamp=2025-12-30T03:07:45Z&bg-color=FFFFFF&width=600,
JM3TCBCY2P0659720,P11802,2023,Mazda,CX-9,Touring,2023 Mazda CX-9 Touring,"$21,821OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","76,679 mi","Exterior: Sonic Silver Metallic, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-+-Mazda+CX+9-Touring-JM3TCBCY2P0659720,https://www.premiernissanoffremont.com/inventoryphotos/16243/jm3tcbcy2p0659720/ip/1.jpg?timestamp=2026-02-06T13:00:24Z&bg-color=FFFFFF&width=600,
1C4RJHAG8PC644434,P11774,2023,Jeep,Grand Cherokee,Laredo,2023 Jeep Grand Cherokee Laredo,"$21,961OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","64,115 mi","Exterior: Baltic Gray Metallic Clearcoat, Interior: Global Black",,https://www.premiernissanoffremont.com/used-+-2023-Jeep-Grand+Cherokee-Laredo-1C4RJHAG8PC644434,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4rjhag8pc644434/ip/1.jpg?timestamp=2026-01-10T12:56:39Z&bg-color=FFFFFF&width=600,
1GKKNKL43PZ103847,P11803,2023,GMC,Acadia,SLE,2023 GMC Acadia SLE,"$21,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","68,080 mi","Exterior: Summit White, Interior: Jet Black",,https://www.premiernissanoffremont.com/used-+-2023-GMC-Acadia-SLE-1GKKNKL43PZ103847,https://www.premiernissanoffremont.com/inventoryphotos/16243/1gkknkl43pz103847/ip/1.jpg?timestamp=2026-02-06T13:00:24Z&bg-color=FFFFFF&width=600,
1C4RJHAG6PC644142,P3619,2023,Jeep,Grand Cherokee,Laredo,2023 Jeep Grand Cherokee Laredo,"$22,781OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","66,286 mi","Exterior: Bright White Clearcoat, Interior: Global Black",,https://www.premiernissanoffremont.com/used-+-2023-Jeep-Grand+Cherokee-Laredo-1C4RJHAG6PC644142,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4rjhag6pc644142/ip/1.jpg?timestamp=2026-01-30T05:09:58Z&bg-color=FFFFFF&width=600,
JN1BF0BAXRM432293,P11796,2024,Nissan,Ariya,EVOLVE+,2024 Nissan Ariya EVOLVE+,"$22,931OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","15,297 mi","Exterior: Black Diamond Pearl, Interior: Hai Gray",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Ariya-EVOLVE+-JN1BF0BAXRM432293,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1bf0baxrm432293/ip/1.jpg?timestamp=2026-02-04T05:10:11Z&bg-color=FFFFFF&width=600,
5N1BT3CA6PC799647,P11522,2023,Nissan,Rogue,SL,2023 Nissan Rogue SL,"$22,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","52,053 mi","Exterior: Boulder Gray Pearl, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Rogue-SL-5N1BT3CA6PC799647,https://www.premiernissanoffremont.com/inventoryphotos/16243/5n1bt3ca6pc799647/ip/1.jpg?timestamp=2025-12-06T13:03:37Z&bg-color=FFFFFF&width=600,
1N6ED0EB5MN718962,P11727,2021,Nissan,Frontier,SV,2021 Nissan Frontier SV,"$23,881OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","57,681 mi",Exterior: Glacier White,,https://www.premiernissanoffremont.com/used-+-2021-Nissan-Frontier-SV-1N6ED0EB5MN718962,https://www.premiernissanoffremont.com/inventoryphotos/16243/1n6ed0eb5mn718962/ip/1.jpg?timestamp=2026-01-16T05:01:55Z&bg-color=FFFFFF&width=600,
1N6ED1CL6RN605420,P11772,2024,Nissan,Frontier,SV,2024 Nissan Frontier SV,"$23,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","39,550 mi","Exterior: Gun Metallic, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Frontier-SV-1N6ED1CL6RN605420,https://www.premiernissanoffremont.com/inventoryphotos/16243/1n6ed1cl6rn605420/ip/1.jpg?timestamp=2026-01-10T01:48:59Z&bg-color=FFFFFF&width=600,
5N1BT3AA8SC779993,SC779993L,2025,Nissan,Rogue,S,2025 Nissan Rogue S,"$24,781OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","13,893 mi","Exterior: Gun Metallic, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2025-Nissan-Rogue-S-5N1BT3AA8SC779993,https://www.premiernissanoffremont.com/inventoryphotos/16243/5n1bt3aa8sc779993/ip/1.jpg?timestamp=2025-12-23T13:07:45Z&bg-color=FFFFFF&width=600,
2C4RC1CG3RR119581,P11722,2024,Chrysler,Voyager,LX,2024 Chrysler Voyager LX,"$24,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","46,605 mi",Exterior: Bright White Clearcoat,,https://www.premiernissanoffremont.com/used-+-2024-Chrysler-Voyager-LX-2C4RC1CG3RR119581,https://www.premiernissanoffremont.com/inventoryphotos/16243/2c4rc1cg3rr119581/ip/1.jpg?timestamp=2025-12-04T13:18:54Z&bg-color=FFFFFF&width=600,
JN1DF0CDXPM705764,P11786,2023,Nissan,Ariya,PLATINUM+ e-4ORCE,2023 Nissan Ariya PLATINUM+ e-4ORCE,"$25,781OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","27,705 mi","Exterior: Boulder Gray Pearl/Black Diamond Pearl, Interior: Blue Gray",,https://www.premiernissanoffremont.com/used-+-2023-Nissan-Ariya-PLATINUM++e+4ORCE-JN1DF0CDXPM705764,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1df0cdxpm705764/ip/1.jpg?timestamp=2026-02-07T05:04:32Z&bg-color=FFFFFF&width=600,
JN1DF0BB2RM738597,P11799,2024,Nissan,Ariya,EVOLVE+ e-4ORCE,2024 Nissan Ariya EVOLVE+ e-4ORCE,"$25,881OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","21,230 mi","Exterior: Everest White Pearl Tricoat, Interior: Charcoal",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Ariya-EVOLVE++e+4ORCE-JN1DF0BB2RM738597,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1df0bb2rm738597/ip/1.jpg?timestamp=2026-02-06T13:00:24Z&bg-color=FFFFFF&width=600,
1C4RDJDGXPC676067,P11696,2023,Dodge,Durango,GT,2023 Dodge Durango GT,"$25,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","57,638 mi","Exterior: Destroyer Gray Clearcoat, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-Dodge-Durango-GT-1C4RDJDGXPC676067,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4rdjdgxpc676067/ip/1.jpg?timestamp=2025-12-15T17:21:34Z&bg-color=FFFFFF&width=600,
3GPKHWRM9RS530918,P11797,2024,Honda,Prologue,Touring,2024 Honda Prologue Touring,"$25,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","15,689 mi","Exterior: North Shore Pearl, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2024-Honda-Prologue-Touring-3GPKHWRM9RS530918,https://www.premiernissanoffremont.com/inventoryphotos/16243/3gpkhwrm9rs530918/ip/1.jpg?timestamp=2026-02-07T05:04:32Z&bg-color=FFFFFF&width=600,
KNDC3DLC3R5615675,P11801,2024,Kia,EV6,Light,2024 Kia EV6 Light,"$27,581OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","13,545 mi","Exterior: Aurora Black Pearl, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2024-Kia-EV6-Light-KNDC3DLC3R5615675,https://www.premiernissanoffremont.com/inventoryphotos/16243/kndc3dlc3r5615675/ip/1.jpg?timestamp=2026-02-06T13:00:24Z&bg-color=FFFFFF&width=600,
1C4JJXR68PW515997,P11805,2023,Jeep,Wrangler,Rubicon 4xe,2023 Jeep Wrangler Rubicon 4xe,"$28,321OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","59,298 mi","Exterior: Black Clearcoat, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-Jeep-Wrangler-Rubicon+4xe-1C4JJXR68PW515997,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4jjxr68pw515997/ip/1.jpg?timestamp=2026-02-06T13:00:24Z&bg-color=FFFFFF&width=600,
1C4JJXP62PW528909,P11789,2023,Jeep,Wrangler,Sahara 4xe,2023 Jeep Wrangler Sahara 4xe,"$28,821OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","45,007 mi","Exterior: Bright White Clearcoat, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-Jeep-Wrangler-Sahara+4xe-1C4JJXP62PW528909,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4jjxp62pw528909/ip/1.jpg?timestamp=2026-01-31T13:29:41Z&bg-color=FFFFFF&width=600,
JN8BT3DD6RW254812,RW254812L,2024,Nissan,Rogue,Platinum,2024 Nissan Rogue Platinum,"$30,841OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","6,037 mi","Exterior: Super Black, Interior: Chestnut",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Rogue-Platinum-JN8BT3DD6RW254812,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn8bt3dd6rw254812/ip/1.jpg?timestamp=2026-01-29T04:41:43Z&bg-color=FFFFFF&width=600,
1C4JJXP69PW513372,P117569,2023,Jeep,Wrangler,Sahara 4xe,2023 Jeep Wrangler Sahara 4xe,"$30,881OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","20,885 mi","Exterior: Firecracker Red Clearcoat, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2023-Jeep-Wrangler-Sahara+4xe-1C4JJXP69PW513372,https://www.premiernissanoffremont.com/inventoryphotos/16243/1c4jjxp69pw513372/ip/1.jpg?timestamp=2025-12-23T05:32:13Z&bg-color=FFFFFF&width=600,
4T3RWRFV1RU121142,P11776,2024,Toyota,RAV4 Hybrid,XLE,2024 Toyota RAV4 Hybrid XLE,"$30,981OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","39,874 mi","Exterior: Magnetic Gray Metallic, Interior: Black",,https://www.premiernissanoffremont.com/used-+-2024-Toyota-RAV4+Hybrid-XLE-4T3RWRFV1RU121142,https://www.premiernissanoffremont.com/inventoryphotos/16243/4t3rwrfv1ru121142/ip/1.jpg?timestamp=2026-01-10T12:56:39Z&bg-color=FFFFFF&width=600,
JN1BZ4BH2RM365135,RM365135,2024,Nissan,Z,Performance,2024 Nissan Z Performance,"$50,000OUR PRICEClick To CallShop@HomeSee Payment OptionsStart Buying Process","1,673 mi","Exterior: Black Diamond Pearl, Interior: Blue",,https://www.premiernissanoffremont.com/used-+-2024-Nissan-Z-Performance-JN1BZ4BH2RM365135,https://www.premiernissanoffremont.com/inventoryphotos/16243/jn1bz4bh2rm365135/ip/1.jpg?timestamp=2025-12-04T13:18:54Z&bg-color=FFFFFF&width=600,
